Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/wE9hMubKMZ https://t.co/uBE7UgkbDC	positive
Beauty&The Beast has been named the biggest musical of all time at the UK box office!Missed our YORKSHIRE version?… https://t.co/1nLvDVwNyb	neutral
RT @DisneyMusic: Twirl around the room with Plumette and her @Spotify​ playlist 🌹  https://t.co/n4C4WAUAkM | #BeautyAndTheBeast #MusicMonda…	neutral
RT @Igbtpadme: "tale as old as time" from beauty and the beast in french https://t.co/Y1Aajv8zGI	neutral
T_T♥♥♥Céline Dion - How Does A Moment Last Forever (From "Beauty and the Beast") https://t.co/8TrdDHFRU0	neutral
The production scene of "Be Our Guest" in the recent Beauty and the Beast movie makes me miss being on stage ):	neutral
RT @dhilDnA: I wish any directors would remake Beauty and The Beast in Tamil with Rahman sir's music.	neutral
RT @GiveawayBandit: Who's seeing @beourguest #BeautyAndTheBest this weekend in theaters? #beourguestevent #BeOurGuest My review==> https://…	neutral
RT @GiveawayBandit: Exclusive interview with #BeautyAndTheBeast composer @aimenken and director Bill Condon #BeOurGuestEvent #BeOurGuest ht…	neutral
Exclusive Beauty and the Beast Interview with Bill Condon & Alan Menken https://t.co/rOYxF9aQBh @giveawaybandit	neutral
I just entered to win a #BeautyandtheBeast prize pack from @KidCongenialty and @PicturingDisney! #giveaway #freebie https://t.co/MTl7xH1cKp	neutral
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/o2l38phwhX https://t.co/ovUMG8vasg	positive
RT @HorsingAroundLA: Meeting the Cast of Beauty and the Beast - https://t.co/Ebh65FK98l #BeOurGuest #BeautyAndTheBeast @HorsingAroundLA htt…	neutral
@SnarkyPlatypus Beauty and the Beast	neutral
#NP Live: Angela Lansbury - Beauty And The Beast (From Disney's ''Beauty And The Beast'') - Now @ https://t.co/qinNCgs5SD #NowPlaying #Music	neutral
watching beauty and the Beast	neutral
RT @jennyhudak: we can all agree this was the best scene in Beauty and the Beast, right? okay. good. https://t.co/wc4gGrooQn	positive
RT @thePositiveMOM_: I'm in love with the new trailer for #Disney’s live-action #BeautyAndTheBeast! @beourguest #BeOurGuest #DisneySMMC ht…	positive
RT @thePositiveMOM_: I'm in love with the new trailer for #Disney’s live-action #BeautyAndTheBeast! @beourguest #BeOurGuest #DisneySMMC ht…	positive
Céline Dion - How Does A Moment Last Forever (From "Beauty and the Beast") https://t.co/0dUcrdnrAG	neutral
RT @eNectere: I love the #BeautyAndTheBeast soundtrack!!! #BeOurGuest https://t.co/eDZ7jovqpp	positive
I haven't seen LaLa Land or Beauty and the Beast yet.. but Q has made me take him to see the smurfs 7 times...	positive
#BeautyAndTheBeast was such a pleayto experience!	neutral
@AMDWaters or beauty and the beast	neutral
Céline Dion - How Does A Moment Last Forever (From "Beauty and the Beast") https://t.co/5CxUTzS2ay	neutral
Beauty and the Beast https://t.co/Qu8lsHUI4c	neutral
Beauty and the beast 💖	positive
I liked a @YouTube video https://t.co/COUYHb46WG Beauty And The Beast - Celine Dion & Peabo Bryson (Cover by Kristel Fulgar & Marlo	positive
Mama surprised me with a private late night screening of Beauty and the Beast to begin my week of bday surprises!🌹😄… https://t.co/0942LW6NyD	positive
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/BxCakgnf4J https://t.co/yPTch11okw	positive
The moral of Beauty and the Beast is that looks don't matter, so long as you're a man.	positive
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/B0fkchwMjA https://t.co/8U899XEzOQ	positive
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/BxCakgnf4J https://t.co/CLu57ZL7xk	positive
I saw Beauty and the Beast. It was really really good. The cinema was full of children though.	positive
RT @MyPrideBlog: And who'd have guessed They'd come together on their own?#BeautyandtheBeast #BeOurGuest #Disney	neutral
RT @GiveawayBandit: Exclusive interview with #BeautyAndTheBeast composer @aimenken and director Bill Condon #BeOurGuestEvent #BeOurGuest ht…	neutral
RT @IzzyShepherd93: Just one week @DianaDakik until #BeautyAndTheBeast 🙋🏻🙋🏻 #BeOurGuest @ODEONCinemas	neutral
RT @DisneyMusic: #BeOurGuest and celebrate the release of #BeautyAndTheBeast by listening to the soundtrack on @AppleMusic! 🌹 https://t.co/…	neutral
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/wE9hMubKMZ https://t.co/XvoMtszYHK	positive
Get to meet and greet your favourite Beauty and the Beast characters.Bring your kids to see this incredible... https://t.co/JnCgKrxYl0	positive
RT @MyPrideBlog: And who'd have guessed They'd come together on their own?#BeautyandtheBeast #BeOurGuest #Disney	neutral
beauty and the beast 👸🌹⏰☕🍴🏰🦁	neutral
Beauty and the beast ~ 💞🎶	positive
Beauty and the Beast Event!Something amazing might happen...? #LINEPLAY https://t.co/hVDkrw1zjK https://t.co/MDarsLAmnG	positive
RT @MyPrideBlog: And who'd have guessed They'd come together on their own?#BeautyandtheBeast #BeOurGuest #Disney	neutral
RT @eNectere: I love the #BeautyAndTheBeast soundtrack!!! #BeOurGuest https://t.co/eDZ7jovqpp	positive
