I liked a @YouTube video https://t.co/8AlokAS7Z3 Brain on Fire Trailer #1 (2017) Chloë Grace Moretz Drama Movie HD	positive
RT @ServetusRA: Brain on Fire reviewed in South China Morning post: “uncompromisingly bland” #richardarmitage https://t.co/A4GPlP9s1X	neutral
why is Chloe Grace Moretz playing Susannah in brain on fire 🙄 I'm upset https://t.co/45yU0JFeOd	negative
@netflix Hello,I'd read somewhere that you will show the movie #BrainOnFire Any clue about when that could happen? Thanks	neutral
@terr6210 @SallyMa36678659 @RavnaofErebor He does an excellent job with his roles, sadly we're still waiting for hi… https://t.co/o6clR2Z7hU	positive
If you have 23 extra minutes and want to set your brain on fire, watch this https://t.co/V6SCGLzMkU	neutral
@MrsKellyPierce Brain on fire	neutral
Laaaawd all this reading and studying got my brain on fire right now.	positive
Film review: Brain on Fire – Chloe Grace Moretz confronts rare brain disease in monotonous drama…… https://t.co/aOQtPq2dPV	positive
brain on fire, 😱	neutral
Yet another reason to dump @netflix after #BrainOnFire premieres: CEO Reed Hastings' Pay Rises to $23.2M in 2016 https://t.co/hlXxF0k26g	neutral
Brain on Fire reviewed in South China Morning post: “uncompromisingly bland” #richardarmitage https://t.co/A4GPlP9s1X	neutral
RT @mooseturds: Another new #RichardArmitage photo from #BrainOnFire. Brace yourself, Tom C. https://t.co/msCxMLeAZc https://t.co/WccVLDmGeM	neutral
lmaooo omg SOS brain on fire	neutral
Chloe Grace Moretez photo of the day: New “Brain on Fire” Promo Pic https://t.co/yLPtuhLptJ #ChloeGraceMoretz https://t.co/MFzchkJeTH	positive
I liked a @YouTube video https://t.co/ppwobovAUO Brain On Fire Official Trailer (2017) Chloë Grace Moretz, Richard Armitage Movie	positive
#brainonfire I'm glad I read. https://t.co/1xIryhAXrn	positive
RT @EmmaRitchie8: @scahalan would u please retweet my blog to raise awareness.It's about my son.#encephalitis #Awareness #brainonfire https…	neutral
@scahalan would u please retweet my blog to raise awareness.It's about my son.#encephalitis #Awareness #brainonfire https://t.co/HZhDS8uS1l	neutral
trying to write an essay in english about two operas, one czech and the other a mash of italian and japanese. brain on fire.	neutral
RT @HilaryDuff: Taking a moment. Reading brain on fire. Anyone read it? https://t.co/EHNMykpIOD	neutral
.@ChloeGMoretz Poll Result: 74% would watch Brain on Fire if it played in theaters where they live, so all we can h… https://t.co/KGTJgXuv93	neutral
RT @cgmoretzx: Brain on fire trailer is officially out! Go check it out. https://t.co/BhzH6HZjv4	neutral
Brain on fire	neutral
RT @HilaryDuff: Taking a moment. Reading brain on fire. Anyone read it? https://t.co/EHNMykpIOD	neutral
RT @Decervelage: @Catherine_Asaro @outerplaces Skolian Empire's complex drive sets my geek brain on fire with glee, as Niven's Alderson Poi…	neutral
Have an excellent start of the week #richardarmitage #brainonfire #BerlinStation 💗💗💗 https://t.co/Pvz6Ygjqjy	positive
45% done with Brain on Fire, by Susannah Cahalan https://t.co/0q4lFpdU4y	neutral
After reading about #seizures in #BrainOnFire I wanted to know more. Check out this article!! #educateyourself https://t.co/cMAc4T8pHd	neutral
Another #RichardArmitage photo from the best scene in Brain on Fire https://t.co/s4FK4DiqfN https://t.co/6FExTbqp1L https://t.co/bOd8roah3s	positive
Has anyone read Brain on Fire? It's being made in to a movie soon.	neutral
A good book and Dunkin's iced mocha. Can't go wrong. #myaddictions #brainonfire #dunkindonuts ☕️📖	positive
@womensmarch Brain on Fire	neutral
Bought the book Brain on Fire at the airport yesterday. It is AMAZING! Can't put it down. Pretty sure I will finish it today. @scahalan	positive
