RT @SecMatterz: From old #cyberthreats to car hacks, here are six lessons you can learn from #GhostintheShell: https://t.co/Rk9ZHFixbk#Se…	neutral
Ghost in the Shell blasts onto the cover of Total Film magazine - on sale now! https://t.co/90bK11UWHq https://t.co/DFBx9JAFQq	neutral
Pulling an all-nighter before our 6AM flight to Louisiana. Watching a classic. #GhostintheShell https://t.co/51TpVpSlwO	negative
RT @Eva08s_Pilot: Ghost in the Shell. (1995) https://t.co/ald4tvJpaG	neutral
RT @steveaoki: When I float weightless back to the surface, I'm imagining I'm becoming someone else #ghostintheshell https://t.co/9RnRsM8FWb	neutral
#film #GhostInTheShellAn East & West production with excellent visuals & acting but a somewhat scattered centre. https://t.co/ovDskSBbyl	positive
@illegenes @nullphysical Related: I remember reading somewhere that technically the Major from Ghost in the Shell w… https://t.co/WFW9os8f4v	neutral
RT @beautfilm: Ghost in the Shell (1995) https://t.co/MJtu0XBhBx	neutral
RT @steveaoki: When I float weightless back to the surface, I'm imagining I'm becoming someone else #ghostintheshell https://t.co/9RnRsM8FWb	neutral
RT @MangaUK: Have you pre-ordered your Blu-ray copy of #GITS: The Laughing Man yet? https://t.co/LLXWyltw6z https://t.co/rnKAHsFXi5	neutral
Paramount: Release the Ghost in the Shell (2017) soundtrack #GITSost https://t.co/Sz2xwUiLbD via @ChangeGER	positive
RT @steveaoki: When I float weightless back to the surface, I'm imagining I'm becoming someone else #ghostintheshell https://t.co/9RnRsM8FWb	neutral
RT @Jorge_Baruch: Me gustó un video de @YouTube https://t.co/tBsnGseFPN Enjoy The Silence by KI Theory (Ghost In The Shell Trailer Music)	positive
DOUBLE FEATURE: Presenting Power Rangers  &  Ghost in the Shell https://t.co/u8T48qTkxB via @YouTube	neutral
RT @JasonABriggs1: Hey, Checkout My Latest Movie Review: Ghost in the Shell. Japanese Manga Anime on the Big Screen. Hi SCi-Fi 3 Stars http…	neutral
RT @steveaoki: When I float weightless back to the surface, I'm imagining I'm becoming someone else #ghostintheshell https://t.co/9RnRsM8FWb	neutral
RT @steveaoki: When I float weightless back to the surface, I'm imagining I'm becoming someone else #ghostintheshell https://t.co/9RnRsM8FWb	neutral
RT @liamwong: Ghost In The Shell 95 vibes.A picture I took last week in Hong Kong. https://t.co/n6PjshMRAO	neutral
RT @JasonABriggs1: Hey, Checkout My Latest Movie Review: Ghost in the Shell. Japanese Manga Anime on the Big Screen. Hi SCi-Fi 3 Stars http…	neutral
